iter	Passed	Remaining
0	2	2411
1	26	13137
2	27	9290
3	29	7374
4	32	6410
5	34	5665
6	35	5068
7	37	4660
8	42	4625
9	43	4312
10	45	4055
11	46	3841
12	48	3655
13	49	3498
14	51	3362
15	52	3239
16	56	3283
17	58	3181
18	60	3108
19	61	3024
20	63	2961
21	65	2906
22	66	2844
23	70	2878
24	72	2822
25	73	2768
26	75	2717
27	76	2669
28	78	2624
29	79	2583
30	81	2548
31	83	2513
32	86	2544
33	88	2510
34	89	2481
35	91	2462
36	93	2445
37	96	2439
38	97	2412
39	101	2442
40	103	2416
41	104	2391
42	106	2370
43	108	2349
44	110	2336
45	112	2325
46	115	2345
47	117	2333
48	119	2319
49	121	2299
50	122	2287
51	124	2269
52	126	2251
53	127	2234
54	131	2257
55	132	2240
56	134	2223
57	135	2207
58	137	2192
59	138	2176
60	140	2161
61	141	2147
62	143	2133
63	147	2159
64	149	2152
65	151	2146
66	153	2138
67	155	2126
68	156	2114
69	158	2102
70	162	2128
71	164	2118
72	165	2107
73	167	2094
74	168	2082
75	170	2072
76	171	2061
77	176	2088
78	179	2091
79	180	2080
80	182	2069
81	183	2058
82	184	2039
83	186	2030
84	192	2068
85	193	2060
86	195	2051
87	197	2042
88	198	2032
89	200	2028
90	202	2022
91	205	2032
92	207	2024
93	209	2016
94	210	2006
95	212	1998
96	213	1989
97	215	1980
98	216	1972
99	220	1982
100	221	1975
101	223	1968
102	225	1960
103	226	1951
104	228	1943
105	229	1935
106	232	1937
107	235	1948
108	237	1941
109	238	1933
110	240	1925
111	242	1920
112	243	1913
113	245	1906
114	246	1899
115	250	1907
116	251	1898
117	253	1891
118	254	1884
119	256	1877
120	257	1871
121	258	1861
122	260	1856
123	265	1874
124	266	1868
125	268	1861
126	269	1852
127	271	1846
128	272	1840
129	274	1833
130	275	1827
131	277	1822
132	280	1830
133	282	1826
134	284	1825
135	286	1820
136	288	1815
137	289	1811
138	291	1805
139	295	1812
140	297	1810
141	298	1803
142	300	1798
143	301	1793
144	303	1789
145	305	1786
146	307	1783
147	312	1800
148	314	1797
149	316	1795
150	318	1791
151	320	1788
152	322	1785
153	330	1817
154	332	1813
155	334	1807
156	335	1802
157	337	1796
158	338	1791
159	341	1795
160	343	1788
161	344	1783
162	346	1777
163	347	1772
164	349	1767
165	350	1762
166	352	1756
167	354	1754
168	357	1757
169	359	1753
170	360	1748
171	366	1765
172	368	1760
173	369	1755
174	371	1750
175	372	1745
176	374	1740
177	375	1735
178	377	1731
179	384	1749
180	387	1754
181	394	1773
182	397	1772
183	399	1770
184	401	1768
185	403	1765
186	405	1762
187	409	1770
188	412	1769
189	414	1767
190	416	1764
191	419	1763
192	420	1759
193	424	1763
194	426	1760
195	428	1757
196	430	1753
197	432	1750
198	434	1748
199	436	1745
200	440	1752
201	442	1749
202	444	1746
203	446	1742
204	448	1739
205	450	1736
206	465	1782
207	467	1780
208	475	1798
209	477	1794
210	482	1803
211	487	1810
212	489	1807
213	491	1803
214	492	1799
215	494	1796
216	496	1792
217	498	1788
218	502	1792
219	504	1789
220	506	1786
221	508	1782
222	511	1781
223	513	1777
224	517	1780
225	519	1777
226	520	1773
227	522	1770
228	524	1766
229	526	1762
230	528	1758
231	534	1768
232	536	1765
233	539	1764
234	541	1762
235	543	1758
236	545	1755
237	552	1768
238	554	1764
239	555	1760
240	557	1756
241	559	1752
242	563	1756
243	565	1753
244	567	1749
245	569	1746
246	571	1742
247	573	1738
248	575	1735
249	581	1743
250	583	1740
251	585	1737
252	587	1733
253	588	1729
254	590	1725
255	594	1727
256	595	1722
257	597	1719
258	599	1714
259	600	1709
260	602	1705
261	604	1701
262	605	1697
263	610	1700
264	611	1696
265	613	1691
266	614	1687
267	616	1682
268	617	1678
269	618	1673
270	621	1672
271	623	1668
272	624	1663
273	626	1659
274	627	1655
275	629	1650
276	630	1646
277	632	1642
278	634	1638
279	638	1641
280	639	1637
281	641	1632
282	642	1628
283	644	1624
284	646	1620
285	647	1617
286	649	1613
287	653	1614
288	654	1610
289	656	1606
290	657	1602
291	659	1598
292	661	1595
293	663	1592
294	666	1593
295	668	1590
296	670	1586
297	671	1582
298	673	1578
299	674	1574
300	676	1570
301	677	1566
302	681	1567
303	683	1564
304	685	1561
305	686	1557
306	688	1553
307	689	1549
308	691	1546
309	693	1542
310	697	1544
311	698	1540
312	700	1536
313	701	1532
314	703	1529
315	705	1526
316	706	1522
317	708	1519
318	711	1519
319	713	1516
320	715	1514
321	718	1513
322	720	1509
323	721	1505
324	723	1502
325	727	1503
326	730	1502
327	731	1499
328	733	1495
329	735	1492
330	736	1488
331	738	1485
332	741	1485
333	743	1482
334	745	1478
335	747	1476
336	748	1472
337	750	1469
338	754	1470
339	755	1467
340	757	1463
341	759	1460
342	761	1457
343	763	1455
344	764	1451
345	768	1452
346	770	1450
347	772	1446
348	773	1443
349	775	1439
350	776	1435
351	778	1432
352	779	1428
353	781	1426
354	784	1425
355	787	1424
356	790	1424
357	797	1430
358	800	1429
359	802	1427
360	804	1424
361	806	1421
362	823	1444
363	828	1448
364	831	1445
365	832	1442
366	834	1440
367	837	1437
368	839	1434
369	843	1436
370	846	1434
371	848	1431
372	850	1428
373	852	1426
374	854	1423
375	860	1428
376	862	1425
377	865	1424
378	867	1421
379	869	1418
380	875	1421
381	877	1419
382	879	1416
383	881	1413
384	883	1411
385	886	1410
386	888	1407
387	890	1405
388	892	1402
389	896	1401
390	898	1398
391	899	1395
392	902	1393
393	904	1390
394	905	1387
395	909	1387
396	911	1384
397	912	1380
398	914	1377
399	915	1373
400	917	1370
401	921	1370
402	923	1368
403	925	1366
404	928	1363
405	930	1360
406	932	1359
407	937	1359
408	939	1357
409	941	1354
410	943	1351
411	945	1349
412	947	1345
413	951	1346
414	952	1343
415	954	1339
416	956	1336
417	957	1333
418	959	1329
419	960	1326
420	962	1323
421	966	1323
422	967	1320
423	969	1317
424	971	1314
425	973	1311
426	974	1308
427	976	1304
428	977	1301
429	982	1301
430	983	1298
431	985	1295
432	986	1292
433	988	1289
434	989	1285
435	992	1283
436	999	1287
437	1001	1285
438	1003	1282
439	1005	1279
440	1007	1277
441	1018	1286
442	1021	1283
443	1023	1281
444	1030	1284
445	1032	1282
446	1035	1281
447	1038	1279
448	1048	1286
449	1052	1286
450	1056	1286
451	1059	1285
452	1061	1282
453	1063	1279
454	1065	1276
455	1068	1274
456	1070	1271
457	1072	1268
458	1074	1265
459	1079	1266
460	1082	1265
461	1084	1262
462	1086	1259
463	1088	1256
464	1090	1254
465	1094	1254
466	1098	1253
467	1100	1250
468	1102	1247
469	1104	1245
470	1106	1243
471	1110	1241
472	1112	1239
473	1114	1236
474	1115	1233
475	1122	1235
476	1131	1240
477	1139	1243
478	1142	1243
479	1145	1240
480	1147	1237
481	1181	1269
482	1184	1268
483	1187	1266
484	1190	1264
485	1193	1262
486	1195	1259
487	1198	1257
488	1213	1268
489	1221	1270
490	1223	1268
491	1226	1266
492	1228	1262
493	1235	1265
494	1238	1263
495	1240	1260
496	1241	1256
497	1243	1253
498	1244	1249
499	1255	1255
500	1258	1252
501	1263	1253
502	1284	1269
503	1286	1266
504	1290	1264
505	1299	1268
506	1302	1266
507	1304	1263
508	1306	1260
509	1312	1261
510	1314	1258
511	1316	1255
512	1320	1253
513	1322	1250
514	1326	1249
515	1328	1246
516	1330	1243
517	1332	1239
518	1335	1237
519	1341	1238
520	1343	1234
521	1345	1231
522	1347	1229
523	1349	1226
524	1352	1224
525	1356	1222
526	1358	1219
527	1360	1216
528	1362	1213
529	1369	1214
530	1372	1212
531	1374	1209
532	1380	1209
533	1383	1206
534	1389	1207
535	1391	1204
536	1400	1207
537	1402	1204
538	1404	1201
539	1406	1198
540	1409	1195
541	1412	1193
542	1414	1190
543	1416	1187
544	1418	1184
545	1421	1181
546	1424	1179
547	1428	1178
548	1431	1175
549	1433	1172
550	1435	1170
551	1438	1167
552	1444	1167
553	1450	1167
554	1452	1164
555	1457	1163
556	1459	1161
557	1461	1158
558	1471	1161
559	1474	1158
560	1476	1155
561	1482	1155
562	1485	1152
563	1487	1149
564	1489	1146
565	1491	1143
566	1496	1142
567	1503	1143
568	1505	1140
569	1515	1143
570	1518	1141
571	1521	1138
572	1524	1135
573	1526	1133
574	1528	1130
575	1530	1126
576	1531	1123
577	1558	1137
578	1560	1134
579	1561	1130
580	1563	1127
581	1564	1123
582	1570	1123
583	1575	1121
584	1576	1118
585	1578	1115
586	1584	1114
587	1586	1111
588	1589	1108
589	1590	1105
590	1592	1101
591	1593	1098
592	1596	1095
593	1599	1093
594	1601	1090
595	1602	1086
596	1604	1083
597	1605	1079
598	1607	1076
599	1609	1072
600	1610	1069
601	1614	1067
602	1615	1063
603	1617	1060
604	1619	1057
605	1620	1053
606	1622	1050
607	1623	1046
608	1625	1043
609	1628	1041
610	1630	1038
611	1632	1034
612	1633	1031
613	1635	1028
614	1636	1024
615	1638	1021
616	1639	1017
617	1641	1014
618	1644	1012
619	1646	1009
620	1648	1005
621	1651	1003
622	1655	1001
623	1661	1001
624	1664	998
625	1665	995
626	1671	994
627	1673	991
628	1674	987
629	1676	984
630	1679	981
631	1681	978
632	1682	975
633	1685	972
634	1686	969
635	1688	966
636	1690	963
637	1692	960
638	1695	958
639	1698	955
640	1699	952
641	1701	948
642	1703	945
643	1705	942
644	1707	939
645	1712	938
646	1714	935
647	1734	942
648	1736	939
649	1738	936
650	1741	933
651	1744	930
652	1746	927
653	1748	924
654	1749	921
655	1751	918
656	1753	915
657	1755	912
658	1759	910
659	1761	907
660	1763	904
661	1765	901
662	1767	898
663	1769	895
664	1772	892
665	1774	890
666	1776	887
667	1778	884
668	1780	880
669	1782	877
670	1784	874
671	1786	871
672	1789	869
673	1791	866
674	1792	863
675	1794	860
676	1801	859
677	1803	856
678	1805	853
679	1807	850
680	1809	847
681	1811	844
